SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT,SAMPLE_ID_ÉCHANTILLON,MEAS_LAB_BATCH_ID
"ON02IH0500","2017-09-11 12:00","S.SURFACE","0","-0.03","","0.26","","","2674","%","CARBON TOTAL INORGANIC","CARBONE INORGANIQUE TOTAL","P","2017-ON0249-0036",""
"ON02IH0500","2017-09-11 12:00","S.SURFACE","0","-0.03","","5.11","","","6912","%","CARBON PARTICULATE ORGANIC","CARBONE ORGANIQUE PARTICULAIRE","P","2017-ON0249-0036",""
"ON02IH0508","2017-09-12 12:00","S.SURFACE","0","-0.03","<","0.1","","","2674","%","CARBON TOTAL INORGANIC","CARBONE INORGANIQUE TOTAL","P","2017-ON0249-0045",""
"ON02IH0508","2017-09-12 12:00","S.SURFACE","0","-0.03","","1.76","","","6912","%","CARBON PARTICULATE ORGANIC","CARBONE ORGANIQUE PARTICULAIRE","P","2017-ON0249-0045",""
"ON02IH0509","2017-09-12 12:00","S.SURFACE","0","-0.03","<","0.1","","","2674","%","CARBON TOTAL INORGANIC","CARBONE INORGANIQUE TOTAL","P","2017-ON0249-0046",""
"ON02IH0509","2017-09-12 12:00","S.SURFACE","0","-0.03","","5.83","","","6912","%","CARBON PARTICULATE ORGANIC","CARBONE ORGANIQUE PARTICULAIRE","P","2017-ON0249-0046",""
"ON02IH0510","2017-09-12 12:00","S.SURFACE","0","-0.03","","0.12","","","2674","%","CARBON TOTAL INORGANIC","CARBONE INORGANIQUE TOTAL","P","2017-ON0249-0047",""
"ON02IH0510","2017-09-12 12:00","S.SURFACE","0","-0.03","","3.6","","","6912","%","CARBON PARTICULATE ORGANIC","CARBONE ORGANIQUE PARTICULAIRE","P","2017-ON0249-0047",""
"ON02IH0510","2017-09-12 12:00","S.CORE","0","-0.01","<","0.1","","","2674","%","CARBON TOTAL INORGANIC","CARBONE INORGANIQUE TOTAL","P","2017-ON0249-0048",""
"ON02IH0510","2017-09-12 12:00","S.CORE","0","-0.01","","3.53","","","6912","%","CARBON PARTICULATE ORGANIC","CARBONE ORGANIQUE PARTICULAIRE","P","2017-ON0249-0048",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.1","-0.11","","0.13","","","2674","%","CARBON TOTAL INORGANIC","CARBONE INORGANIQUE TOTAL","P","2017-ON0249-0058",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.1","-0.11","","3.2","","","6912","%","CARBON PARTICULATE ORGANIC","CARBONE ORGANIQUE PARTICULAIRE","P","2017-ON0249-0058",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.11","-0.12","","0.17","","","2674","%","CARBON TOTAL INORGANIC","CARBONE INORGANIQUE TOTAL","P","2017-ON0249-0059",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.11","-0.12","","3.22","","","6912","%","CARBON PARTICULATE ORGANIC","CARBONE ORGANIQUE PARTICULAIRE","P","2017-ON0249-0059",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.12","-0.13","","0.22","","","2674","%","CARBON TOTAL INORGANIC","CARBONE INORGANIQUE TOTAL","P","2017-ON0249-0060",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.12","-0.13","","3.23","","","6912","%","CARBON PARTICULATE ORGANIC","CARBONE ORGANIQUE PARTICULAIRE","P","2017-ON0249-0060",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.01","-0.02","","0.14","","","2674","%","CARBON TOTAL INORGANIC","CARBONE INORGANIQUE TOTAL","P","2017-ON0249-0049",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.01","-0.02","","3.51","","","6912","%","CARBON PARTICULATE ORGANIC","CARBONE ORGANIQUE PARTICULAIRE","P","2017-ON0249-0049",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.13","-0.14","","0.22","","","2674","%","CARBON TOTAL INORGANIC","CARBONE INORGANIQUE TOTAL","P","2017-ON0249-0061",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.13","-0.14","","3.22","","","6912","%","CARBON PARTICULATE ORGANIC","CARBONE ORGANIQUE PARTICULAIRE","P","2017-ON0249-0061",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.14","-0.15","","0.19","","","2674","%","CARBON TOTAL INORGANIC","CARBONE INORGANIQUE TOTAL","P","2017-ON0249-0062",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.14","-0.15","","3.3","","","6912","%","CARBON PARTICULATE ORGANIC","CARBONE ORGANIQUE PARTICULAIRE","P","2017-ON0249-0062",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.02","-0.03","","0.23","","","2674","%","CARBON TOTAL INORGANIC","CARBONE INORGANIQUE TOTAL","P","2017-ON0249-0050",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.02","-0.03","","3.4","","","6912","%","CARBON PARTICULATE ORGANIC","CARBONE ORGANIQUE PARTICULAIRE","P","2017-ON0249-0050",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.03","-0.04","","0.11","","","2674","%","CARBON TOTAL INORGANIC","CARBONE INORGANIQUE TOTAL","P","2017-ON0249-0051",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.03","-0.04","","3.38","","","6912","%","CARBON PARTICULATE ORGANIC","CARBONE ORGANIQUE PARTICULAIRE","P","2017-ON0249-0051",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.04","-0.05","","0.11","","","2674","%","CARBON TOTAL INORGANIC","CARBONE INORGANIQUE TOTAL","P","2017-ON0249-0052",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.04","-0.05","","3.3","","","6912","%","CARBON PARTICULATE ORGANIC","CARBONE ORGANIQUE PARTICULAIRE","P","2017-ON0249-0052",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.05","-0.06","","0.11","","","2674","%","CARBON TOTAL INORGANIC","CARBONE INORGANIQUE TOTAL","P","2017-ON0249-0053",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.05","-0.06","","3.28","","","6912","%","CARBON PARTICULATE ORGANIC","CARBONE ORGANIQUE PARTICULAIRE","P","2017-ON0249-0053",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.06","-0.07","","0.12","","","2674","%","CARBON TOTAL INORGANIC","CARBONE INORGANIQUE TOTAL","P","2017-ON0249-0054",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.06","-0.07","","3.28","","","6912","%","CARBON PARTICULATE ORGANIC","CARBONE ORGANIQUE PARTICULAIRE","P","2017-ON0249-0054",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.07","-0.08","","0.17","","","2674","%","CARBON TOTAL INORGANIC","CARBONE INORGANIQUE TOTAL","P","2017-ON0249-0055",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.07","-0.08","","3.24","","","6912","%","CARBON PARTICULATE ORGANIC","CARBONE ORGANIQUE PARTICULAIRE","P","2017-ON0249-0055",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.08","-0.09","","0.18","","","2674","%","CARBON TOTAL INORGANIC","CARBONE INORGANIQUE TOTAL","P","2017-ON0249-0056",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.08","-0.09","","3.22","","","6912","%","CARBON PARTICULATE ORGANIC","CARBONE ORGANIQUE PARTICULAIRE","P","2017-ON0249-0056",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.09","-0.1","","0.17","","","2674","%","CARBON TOTAL INORGANIC","CARBONE INORGANIQUE TOTAL","P","2017-ON0249-0057",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.09","-0.1","","3.16","","","6912","%","CARBON PARTICULATE ORGANIC","CARBONE ORGANIQUE PARTICULAIRE","P","2017-ON0249-0057",""
"ON02IH0504","2017-09-12 12:00","S.SURFACE","0","-0.03","<","0.1","","","2674","%","CARBON TOTAL INORGANIC","CARBONE INORGANIQUE TOTAL","P","2017-ON0249-0040",""
"ON02IH0504","2017-09-12 12:00","S.SURFACE","0","-0.03","","1.38","","","6912","%","CARBON PARTICULATE ORGANIC","CARBONE ORGANIQUE PARTICULAIRE","P","2017-ON0249-0040",""
"ON02IH0455","2017-09-12 12:00","S.SURFACE","0","-0.03","<","0.1","","","2674","%","CARBON TOTAL INORGANIC","CARBONE INORGANIQUE TOTAL","P","2017-ON0249-0041",""
"ON02IH0455","2017-09-12 12:00","S.SURFACE","0","-0.03","","3.65","","","6912","%","CARBON PARTICULATE ORGANIC","CARBONE ORGANIQUE PARTICULAIRE","P","2017-ON0249-0041",""
"ON02IH0511","2017-09-13 12:00","S.SURFACE","0","-0.03","<","0.1","","","2674","%","CARBON TOTAL INORGANIC","CARBONE INORGANIQUE TOTAL","P","2017-ON0249-0063",""
"ON02IH0511","2017-09-13 12:00","S.SURFACE","0","-0.03","","3.39","","","6912","%","CARBON PARTICULATE ORGANIC","CARBONE ORGANIQUE PARTICULAIRE","P","2017-ON0249-0063",""
"ON02IH0512","2017-09-13 12:00","S.SURFACE","0","-0.03","","0.18","","","2674","%","CARBON TOTAL INORGANIC","CARBONE INORGANIQUE TOTAL","P","2017-ON0249-0065",""
