SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT,SAMPLE_ID_ÉCHANTILLON,MEAS_LAB_BATCH_ID
"ON02IE1580","2014-07-22 00:00","S.CORE","0","-0.01","","2013","","","59972","YYYY","(137CS) DATE","DATE 137CS","V","2014-ON0249-0139",""
"ON02IE1580","2014-07-22 00:00","S.CORE","-0.1","-0.11","","1988","","","59972","YYYY","(137CS) DATE","DATE 137CS","V","2014-ON0249-0149",""
"ON02IE1580","2014-07-22 00:00","S.CORE","-0.11","-0.12","","1985","","","59972","YYYY","(137CS) DATE","DATE 137CS","V","2014-ON0249-0150",""
"ON02IE1580","2014-07-22 00:00","S.CORE","-0.12","-0.13","","1983","","","59972","YYYY","(137CS) DATE","DATE 137CS","V","2014-ON0249-0151",""
"ON02IE1580","2014-07-22 00:00","S.CORE","-0.01","-0.02","","2010","","","59972","YYYY","(137CS) DATE","DATE 137CS","V","2014-ON0249-0140",""
"ON02IE1580","2014-07-22 00:00","S.CORE","-0.13","-0.14","","1980","","","59972","YYYY","(137CS) DATE","DATE 137CS","V","2014-ON0249-0152",""
"ON02IE1580","2014-07-22 00:00","S.CORE","-0.14","-0.15","","1978","","","59972","YYYY","(137CS) DATE","DATE 137CS","V","2014-ON0249-0153",""
"ON02IE1580","2014-07-22 00:00","S.CORE","-0.15","-0.16","","1975","","","59972","YYYY","(137CS) DATE","DATE 137CS","V","2014-ON0249-0154",""
"ON02IE1580","2014-07-22 00:00","S.CORE","-0.16","-0.17","","1973","","","59972","YYYY","(137CS) DATE","DATE 137CS","V","2014-ON0249-0169",""
"ON02IE1580","2014-07-22 00:00","S.CORE","-0.17","-0.18","","1970","","","59972","YYYY","(137CS) DATE","DATE 137CS","V","2014-ON0249-0170",""
"ON02IE1580","2014-07-22 00:00","S.CORE","-0.18","-0.19","","1968","","","59972","YYYY","(137CS) DATE","DATE 137CS","V","2014-ON0249-0171",""
"ON02IE1580","2014-07-22 00:00","S.CORE","-0.19","-0.2","","1965","","","59972","YYYY","(137CS) DATE","DATE 137CS","V","2014-ON0249-0172",""
