SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT,SAMPLE_ID_ÉCHANTILLON,MEAS_LAB_BATCH_ID
"ON02IG5122","2017-09-15 12:00","S.SURFACE","0","-0.03","<","0.00073","0.00073","0.0024","49409","NG/G","2,2',4,4',5,5' -HEXABROMOBIPHENYL (HBB 153)","2,2',4,4',5,5' -HEXABROMOBIPHÉNYLE (HBB 153)","P","2017-ON0249-0120",""
"ON02IG5054","2017-09-13 12:00","S.SURFACE","0","-0.03","","0.023","0.00058","0.0019","49409","NG/G","2,2',4,4',5,5' -HEXABROMOBIPHENYL (HBB 153)","2,2',4,4',5,5' -HEXABROMOBIPHÉNYLE (HBB 153)","P","2017-ON0249-0122",""
"ON02IS5444","2016-08-05 22:00","S.CORE","-0.04","-0.05","<","0.0032","0.0032","0.011","9358","NG/G DWT","ALLYL 2,4,6-TRIBROMOPHENYL ETHER (ATE)","ALLYL 2,4,6-TRIBROMOPHÉNYL ÉTHER (ATE)","V","2016-ON0249-0079",""
"ON02IS5301","2016-08-16 12:00","S.SURFACE","0","-0.03","<","0.0032","0.0032","0.011","9356","NG/G DWT","2-ETHYLHEXYL-2,3,4,5-TETRABROMOBENZOATE (EHTEBB OR EHTBB)","2-ÉTHYLHEXYL-2,3,4,5-TÉTRABROMOBENZOATE (EHTEBB OR EHTBB)","V","2016-ON0249-0059",""
"ON02IS5301","2016-08-16 12:00","S.SURFACE","0","-0.03","<","0.0032","0.0032","0.011","9358","NG/G DWT","ALLYL 2,4,6-TRIBROMOPHENYL ETHER (ATE)","ALLYL 2,4,6-TRIBROMOPHÉNYL ÉTHER (ATE)","V","2016-ON0249-0059",""
"ON02IS5044","2016-08-11 20:00","S.SURFACE","0","-0.03","<","0.0033","0.0033","0.011","49409","NG/G","2,2',4,4',5,5' -HEXABROMOBIPHENYL (HBB 153)","2,2',4,4',5,5' -HEXABROMOBIPHÉNYLE (HBB 153)","V","2016-ON0249-0044",""
"ON02IS5130","2016-08-06 23:30","S.SURFACE","0","-0.03","<","0.0034","0.0034","0.014","9371","NG/G DWT","TETRABROMO-O-CHLOROTOLUENE (TBCT)","TÉTRABROMO-O-CHLOROTOLUÈNE (TBCT)","V","2016-ON0249-0047",""
"ON02IS5416","2016-08-07 16:30","S.CORE","-0.07","-0.08","","0.0035","0.00071","0.0024","9368","NG/G DWT","PENTABROMOTOLUENE (PBTO OR PBT)","PENTABROMOTOLUÈNE (PBTO OR PBT)","V","2016-ON0249-0097",""
"ON02IS5426","2016-08-14 12:00","S.SURFACE","0","-0.03","<","0.0035","0.0035","0.01","9356","NG/G DWT","2-ETHYLHEXYL-2,3,4,5-TETRABROMOBENZOATE (EHTEBB OR EHTBB)","2-ÉTHYLHEXYL-2,3,4,5-TÉTRABROMOBENZOATE (EHTEBB OR EHTBB)","V","2016-ON0249-0015",""
"ON02IS5447","2016-08-14 12:00","S.SURFACE","0","-0.03","<","0.0036","0.0036","0.012","49409","NG/G","2,2',4,4',5,5' -HEXABROMOBIPHENYL (HBB 153)","2,2',4,4',5,5' -HEXABROMOBIPHÉNYLE (HBB 153)","V","2016-ON0249-0100",""
"ON02IS5425","2016-08-08 15:45","S.SURFACE","0","-0.03","<","0.0037","0.0037","0.012","49409","NG/G","2,2',4,4',5,5' -HEXABROMOBIPHENYL (HBB 153)","2,2',4,4',5,5' -HEXABROMOBIPHÉNYLE (HBB 153)","V","2016-ON0249-0042",""
