SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT,SAMPLE_ID_ÉCHANTILLON,MEAS_LAB_BATCH_ID
"ON02IG5122","2017-09-15 12:00","S.SURFACE","0","-0.03","<","0.0023","0.0023","0.0077","49338","NG/L","PHOSMET","PHOSMET","P","2017-ON0249-0120",""
"ON02IG5054","2017-09-13 12:00","S.SURFACE","0","-0.03","<","0.0034","0.0034","0.011","49338","NG/L","PHOSMET","PHOSMET","P","2017-ON0249-0122",""
"ON02IS5416","2016-08-07 16:30","S.CORE","-0.03","-0.04","<","0.0092","0.0092","0.031","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0093",""
"ON02IS5438","2016-08-06 05:00","S.SURFACE","0","-0.03","<","0.01","0.01","0.035","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0019",""
"ON02IS5175","2016-08-13 12:00","S.SURFACE","0","-0.03","<","0.012","0.012","0.039","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0049",""
"ON02IS5442","2016-08-05 12:15","S.SURFACE","0","-0.03","<","0.014","0.014","0.048","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0009",""
"ON02IS5419","2016-08-11 22:30","S.SURFACE","0","-0.03","<","0.015","0.015","0.051","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0034",""
"ON02IS5049","2016-08-12 12:00","S.SURFACE","0","-0.03","<","0.017","0.017","0.058","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0045",""
"ON02IS5262","2016-08-06 02:30","S.SURFACE","0","-0.03","<","0.018","0.018","0.06","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0054",""
"ON02IS5416","2016-08-07 16:30","S.CORE","0","-0.01","<","0.02","0.02","0.067","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0085",""
"ON02IS5335","2016-08-15 12:00","S.SURFACE","0","-0.03","<","0.02","0.02","0.065","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0065",""
"ON02IS5180","2016-08-13 12:00","S.SURFACE","0","-0.03","<","0.026","0.026","0.086","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0051",""
"ON02IS5392","2016-08-15 12:00","S.SURFACE","0","-0.03","<","0.029","0.029","0.097","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0066",""
"ON02IS5453","2016-08-15 12:00","S.SURFACE","0","-0.03","<","0.031","0.031","0.1","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0006",""
"ON02IS5308","2016-08-15 12:00","S.SURFACE","0","-0.03","<","0.032","0.032","0.11","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0061",""
"ON02IS5444","2016-08-05 22:00","S.CORE","-0.08","-0.09","<","0.033","0.033","0.11","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0083",""
"ON02IS5430","2016-08-06 17:30","S.SURFACE","0","-0.03","<","0.034","0.034","0.11","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0022",""
"ON02IS5302","2016-08-16 12:00","S.SURFACE","0","-0.03","<","0.041","0.041","0.14","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0060",""
"ON02IS5329","2016-08-16 12:00","S.SURFACE","0","-0.03","<","0.046","0.046","0.15","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0064",""
"ON02IS5157","2016-08-12 12:00","S.SURFACE","0","-0.03","<","0.068","0.068","0.23","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0048",""
"ON02IS5437","2016-08-07 08:00","S.SURFACE","0","-0.03","","0.088","0.01","0.035","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0030",""
"ON02IS5452","2016-08-15 12:00","S.SURFACE","0","-0.03","","0.097","0.022","0.074","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0005",""
"ON02IS5450","2016-08-03 19:55","S.SURFACE","0","-0.03","","0.12","0.024","0.079","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0001",""
"ON02IS5416","2016-08-07 16:30","S.CORE","-0.1","-0.11","","0.13","0.031","0.1","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0086",""
"ON02IS5444","2016-08-05 22:00","S.SURFACE","0","-0.03","","0.23","0.025","0.082","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0011",""
"ON02IS5416","2016-08-07 16:30","S.CORE","-0.12","-0.13","","0.28","0.026","0.086","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0089",""
"ON02IS5295","2016-08-16 12:00","S.SURFACE","0","-0.03","","0.28","0.082","0.27","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0058",""
"ON02IS5395","2016-08-15 12:00","S.SURFACE","0","-0.03","","0.35","0.062","0.21","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0067",""
"ON02IS5416","2016-08-07 16:30","S.CORE","-0.08","-0.09","<","0.0073","0.0073","0.024","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0098",""
"ON02IS5447","2016-08-14 12:00","S.SURFACE","0","-0.03","<","0.008","0.008","0.027","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0100",""
"ON02IS5443","2016-08-05 18:15","S.SURFACE","0","-0.03","<","0.0086","0.0086","0.029","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0010",""
"ON02IS5174","2016-08-13 12:00","S.SURFACE","0","-0.03","<","0.0096","0.0096","0.032","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0016",""
"ON02IS5451","2016-08-04 06:00","S.SURFACE","0","-0.03","<","0.01","0.01","0.035","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0004",""
"ON02IS5425","2016-08-08 15:45","S.SURFACE","0","-0.03","<","0.011","0.011","0.035","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0042",""
"ON02IS5445","2016-08-14 12:00","S.SURFACE","0","-0.03","<","0.011","0.011","0.037","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0012",""
"ON02IS5416","2016-08-07 16:30","S.CORE","-0.05","-0.06","<","0.013","0.013","0.044","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0095",""
"ON02IS5130","2016-08-06 23:30","S.SURFACE","0","-0.03","<","0.013","0.013","0.043","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0047",""
"ON02IS5255","2016-08-05 08:15","S.SURFACE","0","-0.03","<","0.013","0.013","0.045","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0053",""
"ON02IS5178","2016-08-13 12:00","S.SURFACE","0","-0.03","<","0.015","0.015","0.05","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0050",""
"ON02IS5444","2016-08-05 22:00","S.CORE","-0.14","-0.15","<","0.017","0.017","0.058","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0076",""
"ON02IS5417","2016-08-12 12:00","S.SURFACE","0","-0.03","<","0.018","0.018","0.059","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0032",""
"ON02IS5422","2016-08-07 21:30","S.SURFACE","0","-0.03","<","0.018","0.018","0.06","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0036",""
"ON02IS5431","2016-08-06 13:30","S.SURFACE","0","-0.03","<","0.02","0.02","0.067","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0023",""
"ON02IS5003","2016-08-08 17:00","S.SURFACE","0","-0.03","<","0.009","0.009","0.03","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0041",""
"ON02IS5416","2016-08-07 16:30","S.CORE","-0.07","-0.08","<","0.0097","0.0097","0.032","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0097",""
"ON02IS5416","2016-08-07 16:30","S.CORE","-0.02","-0.03","<","0.01","0.01","0.034","49338","NG/L","PHOSMET","PHOSMET","V","2016-ON0249-0092",""
