SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT,SAMPLE_ID_ÉCHANTILLON,MEAS_LAB_BATCH_ID
"ON02IO5108","2019-11-08 02:06","S.SURFACE","0","-0.03","<","0.1","","0.1","61070","NG/G","PERFLUOROBUTANESULFONATE (PFBS) OR PERFLUOROBUTANE SULFONIC ACID","PERFLUOROBUTANESULFONATE (PFBS) OR ACIDE PERFLUOROBUTANESULFONIQUE","P","2019-ON0249-0027",""
"ON02IO5108","2019-11-08 02:06","S.SURFACE","0","-0.03","","0.1","","0.1","61071","NG/G","PERFLUOROHEXANESULFONATE (PFHXS) OR PERFLUOROHEXANESULFONIC ACID","PERFLUOROHEXANESULFONATE (PFHXS)  ","P","2019-ON0249-0027",""
"ON02IO5108","2019-11-08 02:06","S.SURFACE","0","-0.03","<","0.1","","0.1","61072","NG/G","PERFLUORO-1-HEPTANESULFONATE (PFHPS)","PERFLUORO-1-HEPTANESULFONATE (PFHPS)","P","2019-ON0249-0027",""
"ON02IO5108","2019-11-08 02:06","S.SURFACE","0","-0.03","","13","","0.2","61073","NG/G","PERFLUOROOCTANE SULFONATE (PFOS)","PERFLUOROOCTANE SULFONATE (PFOS)","P","2019-ON0249-0027",""
"ON02IO5108","2019-11-08 02:06","S.SURFACE","0","-0.03","","1.2","","0.2","61074","NG/G","PERFLUORODECANESULFONATE (PFDS)","PERFLUORODÉCANESULFONATE (PFDS)","P","2019-ON0249-0027",""
"ON02IO5108","2019-11-08 02:06","S.SURFACE","0","-0.03","","6","","0.2","61075","NG/G","PERFLUORO-N-BUTANOIC ACID (PFBA) OR PERFLUOROBUTANOATE","PERFLUORO-N-ACIDE BUTANOIQUE (PFBA)","P","2019-ON0249-0027",""
"ON02IO5108","2019-11-08 02:06","S.SURFACE","0","-0.03","","2.2","","0.3","61076","NG/G","PERFLUORO-N-PENTANOIC ACID (PFPEA) OR PERFLUOROPENTANOATE","PERFLUORO-N-ACIDE PENTANOIQUE (PFPEA)","P","2019-ON0249-0027",""
"ON02IO5108","2019-11-08 02:06","S.SURFACE","0","-0.03","","1.2","","0.1","61077","NG/G","PERFLUORO-N-HEXANOIC ACID (PFHXA) OR PERFLUOROHEXANOATE","PERFLUORO-N-ACIDE HEXANOIQUE (PFHXA)","P","2019-ON0249-0027",""
"ON02IO5108","2019-11-08 02:06","S.SURFACE","0","-0.03","","0.8","","0.1","61078","NG/G","PERFLUORO-N-HEPTANOIC ACID (PFHPA) OR PERFLUOROHEPTANOATE","PERFLUORO-N-ACIDE HEPTANOIQUE (PFHPA)","P","2019-ON0249-0027",""
"ON02IO5108","2019-11-08 02:06","S.SURFACE","0","-0.03","","0.8","","0.1","61079","NG/G","PERFLUORO-N-OCTANOIC ACID (PFOA) OR PERFLUOROOCTANOATE","PERFLUORO-N-ACIDE OCTANOIQUE (PFOA)","P","2019-ON0249-0027",""
"ON02IO5108","2019-11-08 02:06","S.SURFACE","0","-0.03","","0.8","","0.1","61080","NG/G","PERFLUORO-N-NONANOIC ACID (PFNA) OR PERFLUORONONANOATE","PERFLUORO-N-ACIDE NONANOIQUE (PFNA)","P","2019-ON0249-0027",""
"ON02IO5108","2019-11-08 02:06","S.SURFACE","0","-0.03","","1.9","","0.1","61081","NG/G","PERFLUORO-N-DECANOIC ACID (PFDA) OR PERFLUORODECANOATE","PERFLUORO-N-ACIDE DÉCANOIQUE (PFDA)","P","2019-ON0249-0027",""
"ON02IO5108","2019-11-08 02:06","S.SURFACE","0","-0.03","","3.1","","0.1","61082","NG/G","PERFLUORO-N-UNDECANOIC ACID (PFUNDA)","PERFLUORO-N-ACIDE UNDÉCANOIQUE (PFUNDA)","P","2019-ON0249-0027",""
