SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT,SAMPLE_ID_ÉCHANTILLON,MEAS_LAB_BATCH_ID
"ON02CA0098","2017-07-18 12:00","S.SURFACE","0","-0.03","<","2","","2","58037","NG/G DWT","BISPHENOL A","BISPHÉNOL A","V","2017-ON0249-0006",""
"ON02CA0098","2017-07-18 12:00","S.SURFACE","0","-0.03","<","2","","2","58038","NG/G DWT","BISPHENOL F","BISPHÉNOL F","V","2017-ON0249-0006",""
"ON02CA0098","2017-07-18 12:00","S.SURFACE","0","-0.03","<","2","","2","58039","NG/G DWT","BISPHENOL S","BISPHÉNOL S","V","2017-ON0249-0006",""
"ON02CA0098","2017-07-18 12:00","S.SURFACE","0","-0.03","<","1","","1","58040","NG/G DWT","TRICLOSAN","TRICLOSANE","V","2017-ON0249-0006",""
"ON02CA0098","2017-07-18 12:00","S.SURFACE","0","-0.03","<","2","","2","58041","NG/G DWT","METHYL TRICLOSAN","MÉTHYLE TRICLOSANE","V","2017-ON0249-0006",""
"ON02CA0098","2017-07-18 12:00","S.SURFACE","0","-0.03","<","1","","1","58042","NG/G DWT","TRICLOCARBAN (3,4,4-TRICHLOCARBANILIDE)","TRICLOCARBAN (3,4,4-TRICHLOCARBANILIDE)","V","2017-ON0249-0006",""
"ON02BF0034","2017-07-21 12:00","S.SURFACE","0","-0.03","<","2","","2","58037","NG/G DWT","BISPHENOL A","BISPHÉNOL A","V","2017-ON0249-0031",""
"ON02BF0034","2017-07-21 12:00","S.SURFACE","0","-0.03","<","2","","2","58038","NG/G DWT","BISPHENOL F","BISPHÉNOL F","V","2017-ON0249-0031",""
"ON02BF0034","2017-07-21 12:00","S.SURFACE","0","-0.03","<","2","","2","58039","NG/G DWT","BISPHENOL S","BISPHÉNOL S","V","2017-ON0249-0031",""
"ON02BF0034","2017-07-21 12:00","S.SURFACE","0","-0.03","<","1","","1","58040","NG/G DWT","TRICLOSAN","TRICLOSANE","V","2017-ON0249-0031",""
