SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT,SAMPLE_ID_ÉCHANTILLON,MEAS_LAB_BATCH_ID
"ON02IG5188","2017-09-13 12:00","S.SURFACE","0","-0.03","<","0.58","0.58","0.58","58002","NG/G DWT","BIS(2-ETHOXYETHYL)PHTHALATE","BIS(2-ÉTHOXYÉTHYL)PHTALATE","P","2017-ON0249-0132","QFI0086"
"ON02IG5188","2017-09-13 12:00","S.SURFACE","0","-0.03","<","0.58","0.58","0.58","58004","NG/G DWT","BIS(METHOXYETHYL)PHTHALATE","BIS(MÉTHOXYÉTHYL)PHTALATE","P","2017-ON0249-0132","QFI0086"
"ON02IG5188","2017-09-13 12:00","S.SURFACE","0","-0.03","<","0.58","0.58","0.58","58005","NG/G DWT","BIS(2-N-BUTOXYETHYL) PHTHALATE","BIS(2-N-BUTOXYÉTHYL) PHTALATE","P","2017-ON0249-0132","QFI0086"
"ON02IG5188","2017-09-13 12:00","S.SURFACE","0","-0.03","<","0.58","0.58","0.58","58006","NG/G DWT","BIS(4-METHYL-2-PENTYL)PHTHALATE","BIS(4-MÉTHYL-2-PENTYL)PHTALATE","P","2017-ON0249-0132","QFI0086"
"ON02IG5188","2017-09-13 12:00","S.SURFACE","0","-0.03","<","0.58","0.58","0.58","58007","NG/G DWT","DIBENZYL PHTHALATE (DBZP)","DIBENZYL PHTALATE (DBZP)","P","2017-ON0249-0132","QFI0086"
"ON02IG5188","2017-09-13 12:00","S.SURFACE","0","-0.03","<","0.58","0.58","0.58","58009","NG/G DWT","DICYCLOHEXYL PHTHALATE (DCHP)","PHTALATE DE DICYCLOHEXYLE (DCHP)","P","2017-ON0249-0132","QFI0086"
"ON02IG5188","2017-09-13 12:00","S.SURFACE","0","-0.03","<","0.58","0.58","0.58","58015","NG/G DWT","DIMETHYL PHTHALATE (DMP)","PHTALATE DE DIMÉTHYLE (DMP)","P","2017-ON0249-0132","QFI0086"
"ON02IG5188","2017-09-13 12:00","S.SURFACE","0","-0.03","<","0.58","0.58","0.58","58017","NG/G DWT","DI-N-HEXYL PHTHALATE (DNHP)","DI-N-HEXYL PHTALATE (DNHP)","P","2017-ON0249-0132","QFI0086"
"ON02IG5188","2017-09-13 12:00","S.SURFACE","0","-0.03","<","0.58","0.58","0.58","58019","NG/G DWT","DI-N-OCTYL PHTHALATE (DNOP)","DI-N-OCTYL PHTALATE (DNOP)","P","2017-ON0249-0132","QFI0086"
"ON02IG5188","2017-09-13 12:00","S.SURFACE","0","-0.03","<","0.58","0.58","0.58","58021","NG/G DWT","DINONYL PHTHALATE","PHTALATE DE DINONYL","P","2017-ON0249-0132","QFI0086"
"ON02IG5188","2017-09-13 12:00","S.SURFACE","0","-0.03","<","0.58","0.58","0.58","58022","NG/G DWT","DI-N-PENTYLE PHTHALATE","PHTALATE DE DI-N-PENTYLE","P","2017-ON0249-0132","QFI0086"
"ON02IG5188","2017-09-13 12:00","S.SURFACE","0","-0.03","<","0.58","0.58","0.58","58024","NG/G DWT","DI-N-PROPYL PHTHALATE (DPRP)","DI-N-PROPYL PHTALATE (DPRP)","P","2017-ON0249-0132","QFI0086"
"ON02IG5179","2017-09-14 12:00","S.SURFACE","0","-0.03","<","0.68","0.68","0.68","58002","NG/G DWT","BIS(2-ETHOXYETHYL)PHTHALATE","BIS(2-ÉTHOXYÉTHYL)PHTALATE","P","2017-ON0249-0118","QFI0086"
"ON02IG5179","2017-09-14 12:00","S.SURFACE","0","-0.03","<","0.68","0.68","0.68","58004","NG/G DWT","BIS(METHOXYETHYL)PHTHALATE","BIS(MÉTHOXYÉTHYL)PHTALATE","P","2017-ON0249-0118","QFI0086"
"ON02IG5179","2017-09-14 12:00","S.SURFACE","0","-0.03","<","0.68","0.68","0.68","58005","NG/G DWT","BIS(2-N-BUTOXYETHYL) PHTHALATE","BIS(2-N-BUTOXYÉTHYL) PHTALATE","P","2017-ON0249-0118","QFI0086"
"ON02IG5179","2017-09-14 12:00","S.SURFACE","0","-0.03","<","0.68","0.68","0.68","58006","NG/G DWT","BIS(4-METHYL-2-PENTYL)PHTHALATE","BIS(4-MÉTHYL-2-PENTYL)PHTALATE","P","2017-ON0249-0118","QFI0086"
"ON02IG5179","2017-09-14 12:00","S.SURFACE","0","-0.03","<","0.68","0.68","0.68","58007","NG/G DWT","DIBENZYL PHTHALATE (DBZP)","DIBENZYL PHTALATE (DBZP)","P","2017-ON0249-0118","QFI0086"
"ON02IG5179","2017-09-14 12:00","S.SURFACE","0","-0.03","<","0.68","0.68","0.68","58009","NG/G DWT","DICYCLOHEXYL PHTHALATE (DCHP)","PHTALATE DE DICYCLOHEXYLE (DCHP)","P","2017-ON0249-0118","QFI0086"
"ON02IG5179","2017-09-14 12:00","S.SURFACE","0","-0.03","<","0.68","0.68","0.68","58015","NG/G DWT","DIMETHYL PHTHALATE (DMP)","PHTALATE DE DIMÉTHYLE (DMP)","P","2017-ON0249-0118","QFI0086"
