SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT,SAMPLE_ID_ÉCHANTILLON,MEAS_LAB_BATCH_ID
"ON02IE1537","2014-07-21 00:00","S.SURFACE","0","-0.03","","31.6","","","5912","%","CLAY %","ARGILE %","P","2014-ON0249-0092",""
"ON02IE1537","2014-07-21 00:00","S.SURFACE","0","-0.03","","68.4","","","5931","%","SILT %","LIMON %","P","2014-ON0249-0092",""
"ON02IE1537","2014-07-21 00:00","S.SURFACE","0","-0.03","","0","","","5930","%","SAND %","SABLE %","P","2014-ON0249-0092",""
"ON02IE1537","2014-07-21 00:00","S.SURFACE","0","-0.03","","0.02","","","5896","%","0.00003-0.00006 MM","0.00003-0.00006 MM","P","2014-ON0249-0092",""
"ON02IE1537","2014-07-21 00:00","S.SURFACE","0","-0.03","","1","","","5897","%","0.00006-0.00012 MM","0.00006-0.00012 MM","P","2014-ON0249-0092",""
"ON02IE1537","2014-07-21 00:00","S.SURFACE","0","-0.03","","2","","","5898","%","0.00012-0.00024 MM","0.00012-0.00024 MM","P","2014-ON0249-0092",""
"ON02IE1537","2014-07-21 00:00","S.SURFACE","0","-0.03","","3.2","","","5899","%","0.00024-0.0005 MM","0.00024-0.0005 MM","P","2014-ON0249-0092",""
"ON02IE1537","2014-07-21 00:00","S.SURFACE","0","-0.03","","4","","","5900","%","0.0005-0.001 MM","0.0005-0.001 MM","P","2014-ON0249-0092",""
"ON02IE1537","2014-07-21 00:00","S.SURFACE","0","-0.03","","10","","","5901","%","0.001-0.002 MM","0.001-0.002 MM","P","2014-ON0249-0092",""
"ON02IE1537","2014-07-21 00:00","S.SURFACE","0","-0.03","","11.5","","","5902","%","0.002-0.004 MM","0.002-0.004 MM","P","2014-ON0249-0092",""
"ON02IE1537","2014-07-21 00:00","S.SURFACE","0","-0.03","","18.3","","","5903","%","0.004-0.008 MM","0.004-0.008 MM","P","2014-ON0249-0092",""
"ON02IE1537","2014-07-21 00:00","S.SURFACE","0","-0.03","","32.4","","","5904","%","0.008-0.016 MM","0.008-0.016 MM","P","2014-ON0249-0092",""
"ON02IE1537","2014-07-21 00:00","S.SURFACE","0","-0.03","","15.8","","","5905","%","0.016-0.031 MM","0.016-0.031 MM","P","2014-ON0249-0092",""
"ON02IE1537","2014-07-21 00:00","S.SURFACE","0","-0.03","","1.9","","","5906","%","0.031-0.062 MM","0.031-0.062 MM","P","2014-ON0249-0092",""
"ON02IE1537","2014-07-21 00:00","S.SURFACE","0","-0.03","","0","","","5907","%","0.062-0.125 MM","0.062-0.125 MM","P","2014-ON0249-0092",""
"ON02IE1537","2014-07-21 00:00","S.SURFACE","0","-0.03","","0","","","5908","%","0.125-0.250 MM","0.125-0.250 MM","P","2014-ON0249-0092",""
"ON02IE1537","2014-07-21 00:00","S.SURFACE","0","-0.03","","0","","","5909","%","0.250-0.500 MM","0.250-0.500 MM","P","2014-ON0249-0092",""
"ON02IE1537","2014-07-21 00:00","S.SURFACE","0","-0.03","","0","","","5910","%","0.500-1.000 MM","0.500-1.000 MM","P","2014-ON0249-0092",""
"ON02IE1537","2014-07-21 00:00","S.SURFACE","0","-0.03","","0","","","5911","%","COURSE SAND (GRAIN SIZE 1.00-2.00 MM)","SABLE GROSSIER (GRA""OMÉTRIE 1,00-2,00 MM)","P","2014-ON0249-0092",""
"ON02IE1568","2014-07-21 00:00","S.SURFACE","0","-0.03","","50.8","","","5912","%","CLAY %","ARGILE %","P","2014-ON0249-0093",""
"ON02IE1568","2014-07-21 00:00","S.SURFACE","0","-0.03","","47.5","","","5931","%","SILT %","LIMON %","P","2014-ON0249-0093",""
"ON02IE1568","2014-07-21 00:00","S.SURFACE","0","-0.03","","1.6","","","5930","%","SAND %","SABLE %","P","2014-ON0249-0093",""
"ON02IE1568","2014-07-21 00:00","S.SURFACE","0","-0.03","","0.8","","","5896","%","0.00003-0.00006 MM","0.00003-0.00006 MM","P","2014-ON0249-0093",""
"ON02IE1568","2014-07-21 00:00","S.SURFACE","0","-0.03","","6","","","5897","%","0.00006-0.00012 MM","0.00006-0.00012 MM","P","2014-ON0249-0093",""
"ON02IE1568","2014-07-21 00:00","S.SURFACE","0","-0.03","","3.4","","","5898","%","0.00012-0.00024 MM","0.00012-0.00024 MM","P","2014-ON0249-0093",""
"ON02IE1568","2014-07-21 00:00","S.SURFACE","0","-0.03","","1.6","","","5899","%","0.00024-0.0005 MM","0.00024-0.0005 MM","P","2014-ON0249-0093",""
"ON02IE1568","2014-07-21 00:00","S.SURFACE","0","-0.03","","2.7","","","5900","%","0.0005-0.001 MM","0.0005-0.001 MM","P","2014-ON0249-0093",""
"ON02IE1568","2014-07-21 00:00","S.SURFACE","0","-0.03","","12.8","","","5901","%","0.001-0.002 MM","0.001-0.002 MM","P","2014-ON0249-0093",""
"ON02IE1568","2014-07-21 00:00","S.SURFACE","0","-0.03","","23.5","","","5902","%","0.002-0.004 MM","0.002-0.004 MM","P","2014-ON0249-0093",""
"ON02IE1568","2014-07-21 00:00","S.SURFACE","0","-0.03","","26.6","","","5903","%","0.004-0.008 MM","0.004-0.008 MM","P","2014-ON0249-0093",""
"ON02IE1568","2014-07-21 00:00","S.SURFACE","0","-0.03","","14.9","","","5904","%","0.008-0.016 MM","0.008-0.016 MM","P","2014-ON0249-0093",""
"ON02IE1568","2014-07-21 00:00","S.SURFACE","0","-0.03","","4.4","","","5905","%","0.016-0.031 MM","0.016-0.031 MM","P","2014-ON0249-0093",""
