SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT,SAMPLE_ID_ÉCHANTILLON,MEAS_LAB_BATCH_ID
"ON02IG5122","2017-09-15 12:00","S.SURFACE","0","-0.03","<","0.00064","0.00064","0.0021","49401","NG/G","2,4,4'-TRIBROMODIPHENYL ETHER (PBDE 28)","2,4,4'-TRIBROMODIPHÉNYLÉTHER (PBDE 28)","P","2017-ON0249-0120",""
"ON02IG5122","2017-09-15 12:00","S.SURFACE","0","-0.03","<","0.00072","0.00072","0.0024","49392","NG/G","2,2',4-TRIBROMODIPHENYL ETHER (PBDE 17)","2,2',4-TRIBROMODIPHÉNYLÉTHER (PBDE 17)","P","2017-ON0249-0120",""
"ON02IG5122","2017-09-15 12:00","S.SURFACE","0","-0.03","<","0.00073","0.00073","0.0024","49406","NG/G","3,3',4,4'-TETRABROMODIPHENYL ETHER (PBDE 77) OR BR4-DPE-77","3,3',4,4'-TÉTRABROMODIPHÉNYLÉTHER (PBDE 77)","P","2017-ON0249-0120",""
"ON02IG5054","2017-09-13 12:00","S.SURFACE","0","-0.03","<","0.0009","0.0009","0.003","49401","NG/G","2,4,4'-TRIBROMODIPHENYL ETHER (PBDE 28)","2,4,4'-TRIBROMODIPHÉNYLÉTHER (PBDE 28)","P","2017-ON0249-0122",""
"ON02IG5054","2017-09-13 12:00","S.SURFACE","0","-0.03","<","0.001","0.001","0.0034","49392","NG/G","2,2',4-TRIBROMODIPHENYL ETHER (PBDE 17)","2,2',4-TRIBROMODIPHÉNYLÉTHER (PBDE 17)","P","2017-ON0249-0122",""
"ON02IG5122","2017-09-15 12:00","S.SURFACE","0","-0.03","<","0.0011","0.0011","0.0035","49394","NG/G","HEPTABROMODIPHENYL ETHER (IUPAC 184)","HEPTABROMODIPHÉNYLES ÉTHER (IUPAC 184)","P","2017-ON0249-0120",""
"ON02IG5122","2017-09-15 12:00","S.SURFACE","0","-0.03","<","0.0011","0.0011","0.0038","49403","NG/G","2,2',4,5'-TETRABROMODIPHENYL ETHER (PBDE 49) OR BR4-DPE-49","2,2',4,5'-TÉTRABROMODIPHÉNYLÉTHER (PBDE 49)","P","2017-ON0249-0120",""
"ON02IG5122","2017-09-15 12:00","S.SURFACE","0","-0.03","<","0.0011","0.0011","0.0038","49405","NG/G","BDE-71 (PBDE 71) OR BR4-DPE-71","BDE-71","P","2017-ON0249-0120",""
"ON02IG5122","2017-09-15 12:00","S.SURFACE","0","-0.03","<","0.0012","0.0012","0.004","49393","NG/G","BDE-183 (PBDE 183) OR BR7-DPE-183","BDE-183","P","2017-ON0249-0120",""
"ON02IG5122","2017-09-15 12:00","S.SURFACE","0","-0.03","<","0.0012","0.0012","0.004","49404","NG/G","BDE-66 (PBDE 66) OR BR4-DPE-66","BDE-66","P","2017-ON0249-0120",""
