SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT,SAMPLE_ID_ÉCHANTILLON,MEAS_LAB_BATCH_ID
"ON02IO5150","2018-10-11 05:47","S.SURFACE","0","-0.03","","10","","","49381","NG/G","1,3-DIMETHYLNAPHTHALENE","1,3-DIMÉTHYLNAPHTALÈNE","P","2018-ON0249-0055",""
"ON02IO5150","2018-10-11 05:47","S.SURFACE","0","-0.03","","0.23","","","49382","NG/G","1-CHLORONAPHTHALENE","1-CHLORONAPHTALÈNE","P","2018-ON0249-0055",""
"ON02IO5150","2018-10-11 05:47","S.SURFACE","0","-0.03","","23","","","49383","NG/G","1-METHYLNAPHTHALENE","1-MÉTHYLNAPHTALÈNE","P","2018-ON0249-0055",""
"ON02IO5150","2018-10-11 05:47","S.SURFACE","0","-0.03","","26","","","49384","NG/G","1-METHYLPHENANTHRENE","1-MÉTHYLPHÉNANTHRÈNE","P","2018-ON0249-0055",""
"ON02IO5150","2018-10-11 05:47","S.SURFACE","0","-0.03","<","1.6","","","48878","NG/G","1-NITROPYRENE","1-NITROPYRÈNE","P","2018-ON0249-0055",""
"ON02IO5150","2018-10-11 05:47","S.SURFACE","0","-0.03","","9.5","","","48863","NG/G","2,3,5-TRIMETHYLNAPHTHALENE","2,3,5-TRIMÉTHYLNAPHTALÈNE","P","2018-ON0249-0055",""
"ON02IO5150","2018-10-11 05:47","S.SURFACE","0","-0.03","","0.069","","","49380","NG/G","2-CHLORONAPHTHALENE","2-CHLORONAPHTALÈNE","P","2018-ON0249-0055",""
"ON02IO5150","2018-10-11 05:47","S.SURFACE","0","-0.03","","28","","","48873","NG/G","2-METHYLCHRYSENE","2-MÉTHYLCHRYSÈNE","P","2018-ON0249-0055",""
"ON02IO5150","2018-10-11 05:47","S.SURFACE","0","-0.03","","21","","","48864","NG/G","2-METHYLFLUORANTHENE","2-MÉTHYLFLUORANTHÈNE","P","2018-ON0249-0055",""
"ON02IO5150","2018-10-11 05:47","S.SURFACE","0","-0.03","","42","","","49379","NG/G","2-METHYLNAPHTHALENE","2-MÉTHYLNAPHTALÈNE","P","2018-ON0249-0055",""
"ON02IO5150","2018-10-11 05:47","S.SURFACE","0","-0.03","","73.8","","","49128","%","2-METHYLNAPHTHALENE-D10","2-MÉTHYLNAPHTALÈNE-D10","P","2018-ON0249-0055",""
"ON02IO5150","2018-10-11 05:47","S.SURFACE","0","-0.03","<","0.34","","","48865","NG/G","3-METHYLCHOLANTHRENE","3-MÉTHYLCHOLANTHRÈNE","P","2018-ON0249-0055",""
"ON02IO5150","2018-10-11 05:47","S.SURFACE","0","-0.03","","18","","","48874","NG/G","3-METHYLCHRYSENE","3-MÉTHYLCHRYSÈNE","P","2018-ON0249-0055",""
"ON02IO5150","2018-10-11 05:47","S.SURFACE","0","-0.03","<","0.22","","","48875","NG/G","4-METHYLCHRYSENE","4-MÉTHYLCHRYSÈNE","P","2018-ON0249-0055",""
"ON02IO5150","2018-10-11 05:47","S.SURFACE","0","-0.03","","7.1","","","48877","NG/G","6-METHYLCHRYSENE","6-MÉTHYLCHRYSÈNE","P","2018-ON0249-0055",""
"ON02IO5150","2018-10-11 05:47","S.SURFACE","0","-0.03","<","0.33","","","48866","NG/G","7,12-DIMETHYLBENZ(A)ANTHRACENE","7,12-DIMÉTHYLBENZ(A)ANTHRACÈNE","P","2018-ON0249-0055",""
"ON02IO5150","2018-10-11 05:47","S.SURFACE","0","-0.03","<","0.65","","","48871","NG/G","7H-DIBENZO(C,G)CARBAZOLE","7H-DIBENZO(C,G)CARBAZOLE","P","2018-ON0249-0055",""
"ON02IO5150","2018-10-11 05:47","S.SURFACE","0","-0.03","","12","","","48859","NG/G","ACENAPHTHENE","ACENAPHTÈNE","P","2018-ON0249-0055",""
