SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT,SAMPLE_ID_ÉCHANTILLON,MEAS_LAB_BATCH_ID
"ON02IS5450","2016-08-03 19:55","S.SURFACE","0","-0.03","<","1.3","0.38","1.3","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0001",""
"ON02IS5455","2016-08-03 23:00","S.SURFACE","0","-0.03","<","1.6","0.48","1.6","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0002",""
"ON02IS5449","2016-08-04 03:00","S.SURFACE","0","-0.03","<","1","0.31","1","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0003",""
"ON02IS5451","2016-08-04 06:00","S.SURFACE","0","-0.03","<","0.87","0.26","0.87","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0004",""
"ON02IS5452","2016-08-15 12:00","S.SURFACE","0","-0.03","<","1","0.31","1","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0005",""
"ON02IS5453","2016-08-15 12:00","S.SURFACE","0","-0.03","<","0.67","0.2","0.67","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0006",""
"ON02IS5454","2016-08-16 12:00","S.SURFACE","0","-0.03","<","1.4","0.42","1.4","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0007",""
"ON02IS5456","2016-08-04 20:15","S.SURFACE","0","-0.03","<","1.1","0.32","1.1","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0008",""
"ON02IS5442","2016-08-05 12:15","S.SURFACE","0","-0.03","<","1.2","0.35","1.2","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0009",""
"ON02IS5443","2016-08-05 18:15","S.SURFACE","0","-0.03","<","1.4","0.41","1.4","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0010",""
"ON02IS5444","2016-08-05 22:00","S.SURFACE","0","-0.03","<","1.3","0.38","1.3","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0011",""
"ON02IS5445","2016-08-14 12:00","S.SURFACE","0","-0.03","<","1.1","0.34","1.1","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0012",""
"ON02IS5446","2016-08-14 12:00","S.SURFACE","0","-0.03","<","1.3","0.38","1.3","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0013",""
"ON02IS5447","2016-08-14 12:00","S.SURFACE","0","-0.03","<","0.97","0.29","0.97","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0100",""
"ON02IS5448","2016-08-14 12:00","S.SURFACE","0","-0.03","<","2.5","0.76","2.5","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0014",""
"ON02IS5426","2016-08-14 12:00","S.SURFACE","0","-0.03","<","1.2","0.37","1.2","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0015",""
"ON02IS5174","2016-08-13 12:00","S.SURFACE","0","-0.03","<","2.4","0.73","2.4","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0016",""
"ON02IS5427","2016-08-13 12:00","S.SURFACE","0","-0.03","<","2.2","0.66","2.2","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0017",""
"ON02IS5428","2016-08-13 12:00","S.SURFACE","0","-0.03","<","2.3","0.68","2.3","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0018",""
"ON02IS5438","2016-08-06 05:00","S.SURFACE","0","-0.03","<","3.2","0.96","3.2","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0019",""
"ON02IS5439","2016-08-06 10:30","S.SURFACE","0","-0.03","<","3","0.9","3","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0020",""
"ON02IS5429","2016-08-06 14:45","S.SURFACE","0","-0.03","<","2.5","0.74","2.5","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0021",""
"ON02IS5430","2016-08-06 17:30","S.SURFACE","0","-0.03","<","2.8","0.84","2.8","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0022",""
"ON02IS5431","2016-08-06 13:30","S.SURFACE","0","-0.03","<","2.1","0.62","2.1","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0023",""
"ON02IS5432","2016-08-13 12:00","S.SURFACE","0","-0.03","<","1.7","0.5","1.7","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0024",""
"ON02IS5433","2016-08-12 12:00","S.SURFACE","0","-0.03","<","1.3","0.38","1.3","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0025",""
"ON02IS5158","2016-08-12 12:00","S.SURFACE","0","-0.03","<","2.6","0.79","2.6","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0026",""
"ON02IS5108","2016-08-12 12:00","S.SURFACE","0","-0.03","<","1","0.31","1","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0027",""
"ON02IS5434","2016-08-12 12:00","S.SURFACE","0","-0.03","<","1.2","0.35","1.2","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0028",""
"ON02IS5436","2016-08-07 06:00","S.SURFACE","0","-0.03","<","1.6","0.48","1.6","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0029",""
"ON02IS5437","2016-08-07 08:00","S.SURFACE","0","-0.03","<","1.2","0.36","1.2","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0030",""
"ON02IS5416","2016-08-07 16:30","S.SURFACE","0","-0.03","<","0.94","0.28","0.94","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0031",""
"ON02IS5417","2016-08-12 12:00","S.SURFACE","0","-0.03","<","1.3","0.39","1.3","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0032",""
"ON02IS5418","2016-08-12 12:00","S.SURFACE","0","-0.03","<","1.3","0.39","1.3","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0033",""
