SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT,SAMPLE_ID_ÉCHANTILLON,MEAS_LAB_BATCH_ID
"ON02IH0510","2017-09-12 12:00","S.CORE","0","-0.01","","0.5887","0.0017","0.0017","6542","BQ/G","LEAD RADIATION TOTAL PB-210","RADIATION PLOMB TOTAL PB-210","P","2017-ON0249-0048",""
"ON02IH0510","2017-09-12 12:00","S.CORE","0","-0.01","","0.0553","0.0017","0.0017","6543","BQ/G","RADIUM RADIATION TOTAL RA-226","RADIATION RADIUM TOTAL RA-226","P","2017-ON0249-0048",""
"ON02IH0510","2017-09-12 12:00","S.CORE","0","-0.01","","0.2296","0.0017","0.0017","6541","BQ/G","CESIUM RADIATION CS-137","RADIATION CÉSIUM CS-137","P","2017-ON0249-0048",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.1","-0.11","","0.2339","0.0017","0.0017","6542","BQ/G","LEAD RADIATION TOTAL PB-210","RADIATION PLOMB TOTAL PB-210","P","2017-ON0249-0058",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.1","-0.11","","0.0579","0.0017","0.0017","6543","BQ/G","RADIUM RADIATION TOTAL RA-226","RADIATION RADIUM TOTAL RA-226","P","2017-ON0249-0058",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.1","-0.11","","0.1797","0.0017","0.0017","6541","BQ/G","CESIUM RADIATION CS-137","RADIATION CÉSIUM CS-137","P","2017-ON0249-0058",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.11","-0.12","","0.2129","0.0017","0.0017","6542","BQ/G","LEAD RADIATION TOTAL PB-210","RADIATION PLOMB TOTAL PB-210","P","2017-ON0249-0059",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.11","-0.12","","0.0597","0.0017","0.0017","6543","BQ/G","RADIUM RADIATION TOTAL RA-226","RADIATION RADIUM TOTAL RA-226","P","2017-ON0249-0059",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.11","-0.12","","0.1272","0.0017","0.0017","6541","BQ/G","CESIUM RADIATION CS-137","RADIATION CÉSIUM CS-137","P","2017-ON0249-0059",""
"ON02IH0510","2017-09-12 12:00","S.CORE","-0.12","-0.13","","0.2146","0.0017","0.0017","6542","BQ/G","LEAD RADIATION TOTAL PB-210","RADIATION PLOMB TOTAL PB-210","P","2017-ON0249-0060",""
