SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT,SAMPLE_ID_ÉCHANTILLON,MEAS_LAB_BATCH_ID
"ON02IG5188","2017-09-13 12:00","S.SURFACE","0","-0.03","<","15","15","4.6","58029","NG/G DWT","DODECAMETHYLPENTASILOXANE (L5-MD3M)","DODÉCAMÉTHYLPENTASILOXANE (L5-MD3M)","P","2017-ON0249-0132","QFI0089"
"ON02IG5188","2017-09-13 12:00","S.SURFACE","0","-0.03","<","15","15","4.6","58030","NG/G DWT","HEXAMETHYLCYCLOTRISILOXANE (D3)","HEXAMÉTHYLCYCLOTRISILOXANE (D3)","P","2017-ON0249-0132","QFI0089"
"ON02IG5188","2017-09-13 12:00","S.SURFACE","0","-0.03","<","15","15","4.6","58033","NG/G DWT","OCTAMETHYLCYCLOTETRASILOXANE (D4)","OCTAMÉTHYLCYCLOTÉTRASILOXANE (D4)","P","2017-ON0249-0132","QFI0089"
"ON02IG5188","2017-09-13 12:00","S.SURFACE","0","-0.03","<","15","15","4.6","58035","NG/G DWT","TETRAKIS(TRIMETHYLSILOXY)SILANE (M4Q)","TÉTRAKIS(TRIMÉTHYLSILOXY)SILANE (M4Q)","P","2017-ON0249-0132","QFI0089"
"ON02IG5189","2017-09-16 12:00","S.SURFACE","0","-0.03","<","17","17","5","58026","NG/G DWT","DECAMETHYLCYCLOPENTASILOXANE (D5)","DÉCAMÉTHYLCYCLOPENTASILOXANE (D5)","P","2017-ON0249-0133","QFI0089"
"ON02IG5189","2017-09-16 12:00","S.SURFACE","0","-0.03","<","17","17","5","58029","NG/G DWT","DODECAMETHYLPENTASILOXANE (L5-MD3M)","DODÉCAMÉTHYLPENTASILOXANE (L5-MD3M)","P","2017-ON0249-0133","QFI0089"
"ON02IG5189","2017-09-16 12:00","S.SURFACE","0","-0.03","<","17","17","5","58030","NG/G DWT","HEXAMETHYLCYCLOTRISILOXANE (D3)","HEXAMÉTHYLCYCLOTRISILOXANE (D3)","P","2017-ON0249-0133","QFI0089"
"ON02IG5189","2017-09-16 12:00","S.SURFACE","0","-0.03","<","17","17","5","58033","NG/G DWT","OCTAMETHYLCYCLOTETRASILOXANE (D4)","OCTAMÉTHYLCYCLOTÉTRASILOXANE (D4)","P","2017-ON0249-0133","QFI0089"
"ON02IG5189","2017-09-16 12:00","S.SURFACE","0","-0.03","<","17","17","5","58035","NG/G DWT","TETRAKIS(TRIMETHYLSILOXY)SILANE (M4Q)","TÉTRAKIS(TRIMÉTHYLSILOXY)SILANE (M4Q)","P","2017-ON0249-0133","QFI0089"
"ON02IG5179","2017-09-14 12:00","S.SURFACE","0","-0.03","<","18","18","5.4","58026","NG/G DWT","DECAMETHYLCYCLOPENTASILOXANE (D5)","DÉCAMÉTHYLCYCLOPENTASILOXANE (D5)","P","2017-ON0249-0118","QFI0089"
"ON02IG5179","2017-09-14 12:00","S.SURFACE","0","-0.03","<","18","18","5.4","58029","NG/G DWT","DODECAMETHYLPENTASILOXANE (L5-MD3M)","DODÉCAMÉTHYLPENTASILOXANE (L5-MD3M)","P","2017-ON0249-0118","QFI0089"
"ON02IG5179","2017-09-14 12:00","S.SURFACE","0","-0.03","<","18","18","5.4","58030","NG/G DWT","HEXAMETHYLCYCLOTRISILOXANE (D3)","HEXAMÉTHYLCYCLOTRISILOXANE (D3)","P","2017-ON0249-0118","QFI0089"
"ON02IG5179","2017-09-14 12:00","S.SURFACE","0","-0.03","<","18","18","5.4","58033","NG/G DWT","OCTAMETHYLCYCLOTETRASILOXANE (D4)","OCTAMÉTHYLCYCLOTÉTRASILOXANE (D4)","P","2017-ON0249-0118","QFI0089"
"ON02IG5179","2017-09-14 12:00","S.SURFACE","0","-0.03","<","18","18","5.4","58035","NG/G DWT","TETRAKIS(TRIMETHYLSILOXY)SILANE (M4Q)","TÉTRAKIS(TRIMÉTHYLSILOXY)SILANE (M4Q)","P","2017-ON0249-0118","QFI0089"
"ON02IG5188","2017-09-13 12:00","S.SURFACE","0","-0.03","<","19","19","5.7","58027","NG/G DWT","DECAMETHYLTETRASILOXANE (L4-MD2M)","DÉCAMÉTHYLTÉTRASILOXANE (L4-MD2M)","P","2017-ON0249-0132","QFI0089"
"ON02IG5189","2017-09-16 12:00","S.SURFACE","0","-0.03","<","21","21","6.2","58027","NG/G DWT","DECAMETHYLTETRASILOXANE (L4-MD2M)","DÉCAMÉTHYLTÉTRASILOXANE (L4-MD2M)","P","2017-ON0249-0133","QFI0089"
"ON02IG5179","2017-09-14 12:00","S.SURFACE","0","-0.03","<","23","23","6.8","58027","NG/G DWT","DECAMETHYLTETRASILOXANE (L4-MD2M)","DÉCAMÉTHYLTÉTRASILOXANE (L4-MD2M)","P","2017-ON0249-0118","QFI0089"
"ON02IG5185","2017-09-16 12:00","S.SURFACE","0","-0.03","<","25","25","7.5","58026","NG/G DWT","DECAMETHYLCYCLOPENTASILOXANE (D5)","DÉCAMÉTHYLCYCLOPENTASILOXANE (D5)","P","2017-ON0249-0127","QFI0089"
"ON02IG5185","2017-09-16 12:00","S.SURFACE","0","-0.03","<","25","25","7.5","58029","NG/G DWT","DODECAMETHYLPENTASILOXANE (L5-MD3M)","DODÉCAMÉTHYLPENTASILOXANE (L5-MD3M)","P","2017-ON0249-0127","QFI0089"
"ON02IG5185","2017-09-16 12:00","S.SURFACE","0","-0.03","<","25","25","7.5","58030","NG/G DWT","HEXAMETHYLCYCLOTRISILOXANE (D3)","HEXAMÉTHYLCYCLOTRISILOXANE (D3)","P","2017-ON0249-0127","QFI0089"
"ON02IG5185","2017-09-16 12:00","S.SURFACE","0","-0.03","<","25","25","7.5","58033","NG/G DWT","OCTAMETHYLCYCLOTETRASILOXANE (D4)","OCTAMÉTHYLCYCLOTÉTRASILOXANE (D4)","P","2017-ON0249-0127","QFI0089"
"ON02IG5185","2017-09-16 12:00","S.SURFACE","0","-0.03","<","25","25","7.5","58035","NG/G DWT","TETRAKIS(TRIMETHYLSILOXY)SILANE (M4Q)","TÉTRAKIS(TRIMÉTHYLSILOXY)SILANE (M4Q)","P","2017-ON0249-0127","QFI0089"
"ON02IG5190","2017-09-14 12:00","S.SURFACE","0","-0.03","<","27","27","8.2","58026","NG/G DWT","DECAMETHYLCYCLOPENTASILOXANE (D5)","DÉCAMÉTHYLCYCLOPENTASILOXANE (D5)","P","2017-ON0249-0135","QFI0089"
"ON02IO5082","2018-10-10 12:53","S.SURFACE","0","-0.03","","1","2.2","0.77","58035","NG/G DWT","TETRAKIS(TRIMETHYLSILOXY)SILANE (M4Q)","TÉTRAKIS(TRIMÉTHYLSILOXY)SILANE (M4Q)","P","2018-ON0249-0045","QLB0059"
"ON02IO5144","2018-10-10 16:15","S.SURFACE","0","-0.03","","40","1.4","0.42","58026","NG/G DWT","DECAMETHYLCYCLOPENTASILOXANE (D5)","DÉCAMÉTHYLCYCLOPENTASILOXANE (D5)","P","2018-ON0249-0047","QLB0059"
"ON02IO5144","2018-10-10 16:15","S.SURFACE","0","-0.03","<","11","11","3.7","58027","NG/G DWT","DECAMETHYLTETRASILOXANE (L4-MD2M)","DÉCAMÉTHYLTÉTRASILOXANE (L4-MD2M)","P","2018-ON0249-0047","QLB0059"
"ON02IO5144","2018-10-10 16:15","S.SURFACE","0","-0.03","","26","1.7","0.56","58028","NG/G DWT","DODECAMETHYLCYCLOHEXASILOXANE (D6)","DODÉCAMÉTHYLCYCLOHEXASILOXANE (D6)","P","2018-ON0249-0047","QLB0059"
"ON02IO5144","2018-10-10 16:15","S.SURFACE","0","-0.03","<","4.5","4.5","1.5","58030","NG/G DWT","HEXAMETHYLCYCLOTRISILOXANE (D3)","HEXAMÉTHYLCYCLOTRISILOXANE (D3)","P","2018-ON0249-0047","QLB0059"
"ON02IO5144","2018-10-10 16:15","S.SURFACE","0","-0.03","","38.9","5.6","1.7","58032","%","METHYLTRIS(TRIMETHYLSILOXY)SILANE","MÉTHYLTRIS(TRIMÉTHYLSILOXY)SILANE","P","2018-ON0249-0047","QLB0059"
"ON02IO5144","2018-10-10 16:15","S.SURFACE","0","-0.03","","30","1.3","0.42","58033","NG/G DWT","OCTAMETHYLCYCLOTETRASILOXANE (D4)","OCTAMÉTHYLCYCLOTÉTRASILOXANE (D4)","P","2018-ON0249-0047","QLB0059"
"ON02IO5144","2018-10-10 16:15","S.SURFACE","0","-0.03","","5.8","4.5","1.5","58034","NG/G DWT","OCTAMETHYLTRISILOXANE (L3-MDM)","OCTAMÉTHYLTRISILOXANE (L3-MDM)","P","2018-ON0249-0047","QLB0059"
