SITE_NO,SITE_NAME,SITE_NOM_FR,SITE_TYPE,SITE_DESC,SITE_DESC_FR,LATITUDE,LONGITUDE,DATUM,PROV_TERR,PROV_TERR_FR,PEARSEDA,PEARSEDA_FR,OCEANDA,OCEANDA_FR,DATA_URL,DATA_URL_FR,OPEN_DATA_URL
"NLL","NO LATITUDE AND LONGITUDE","AUCUNE LATITUDE ET LONGITUDE","/","","","","","NAD83","N.L.","T.-N.-L.","","","","","","",""
"ON02BA0001","MOBERLEY LAKE (LAKE 'C') SITE 1","LAC MOBERLEY (LAC C) SITE 1","LAKE/LAC","PART OF THE JACKFISH BAY AREA OF CONCERN, NORTHERN-MOST POINT","PARTIE LA PLUS AU NORD DU SECTEUR PRÉOCCUPANT (SP) DE LA BAIE JACKFISH.","48.833","-87.0133","WGS84","ONT.","ONT.","GREAT LAKES","GRANDS LACS","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","",""
"ON02BA0002","MOBERLEY LAKE (LAKE 'C') SITE 2","LAC MOBERLEY (LAC C) SITE 2","LAKE/LAC","PART OF THE JACKFISH BAY AREA OF CONCERN, NORTH-WESTERN SIDE","PARTIE NORD-OUEST DU SECTEUR PRÉOCCUPANT (SP) DE LA BAIE JACKFISH.","48.83","-87.0127","WGS84","ONT.","ONT.","GREAT LAKES","GRANDS LACS","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","",""
"ON02BA0003","MOBERLEY LAKE (LAKE 'C') SITE 3","LAC MOBERLEY (LAC C) SITE 3","LAKE/LAC","PART OF THE JACKFISH BAY AREA OF CONCERN, SOUTHERN END NEAR BLACKBIRD CREEK","EXTRÉMITÉ SUD DU SECTEUR PRÉOCCUPANT (SP) DE LA BAIE JACKFISH, PRÈS DU RUISSEAU BLACKBIRD.","48.8193","-87.0047","WGS84","ONT.","ONT.","GREAT LAKES","GRANDS LACS","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","",""
"ON02BA0004","MOBERLEY LAKE (LAKE 'C') SITE 4","LAC MOBERLEY (LAC C) SITE 4","LAKE/LAC","PART OF THE JACKFISH BAY AREA OF CONCERN, SOUTH-EASTERN SIDE","PARTIE SUD-EST DU SECTEUR PRÉOCCUPANT (SP) DE LA BAIE JACKFISH.","48.8218","-87.0039","WGS84","ONT.","ONT.","GREAT LAKES","GRANDS LACS","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","",""
"ON02BA0005","MOBERLEY LAKE (LAKE 'C') SITE 5","LAC MOBERLEY (LAC C) SITE 5","LAKE/LAC","PART OF THE JACKFISH BAY AREA OF CONCERN, SOUTH-CENTRAL","PARTIE CENTRE-SUD DU SECTEUR PRÉOCCUPANT (SP) DE LA BAIE JACKFISH.","48.824","-87.0061","WGS84","ONT.","ONT.","GREAT LAKES","GRANDS LACS","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","",""
"ON02BA0006","MOBERLEY LAKE (LAKE 'C') SITE 6","LAC MOBERLEY (LAC C) SITE 6","LAKE/LAC","PART OF THE JACKFISH BAY AREA OF CONCERN, NORTH-CENTRAL","PARTIE CENTRE-NORD DU SECTEUR PRÉOCCUPANT (SP) DE LA BAIE JACKFISH.","48.8267","-87.0082","WGS84","ONT.","ONT.","GREAT LAKES","GRANDS LACS","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","",""
"ON02BF0034","ST.MARYS RIVER SITE 33","RIVIÈRE SAINTE-MARIE SITE 33","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","ST.MARY'S RIVER","RIVIÈRE SAINTE-MARIE","46.4988","-84.4248","WGS84","ONT.","ONT.","GREAT LAKES","GRANDS LACS","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","",""
"ON02BF0035","ST.MARYS RIVER SITE 34","RIVIÈRE SAINTE-MARIE SITE 34","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","ST.MARY'S RIVER","RIVIÈRE SAINTE-MARIE","46.4955","-84.4474","WGS84","ONT.","ONT.","GREAT LAKES","GRANDS LACS","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","",""
"ON02CA0093","ST.MARYS RIVER SITE 1","RIVIÈRE SAINTE-MARIE SITE 1","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","ST.MARYS RIVER","RIVIÈRE SAINTE-MARIE","46.4931","-84.3145","WGS84","ONT.","ONT.","GREAT LAKES","GRANDS LACS","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","",""
"ON02CA0094","ST.MARYS RIVER SITE 2","RIVIÈRE SAINTE-MARIE SITE 2","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","ST.MARYS RIVER","RIVIÈRE SAINTE-MARIE","46.4959","-84.3072","WGS84","ONT.","ONT.","GREAT LAKES","GRANDS LACS","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","",""
"ON02CA0095","ST.MARYS RIVER SITE 3","RIVIÈRE SAINTE-MARIE SITE 3","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","ST.MARYS RIVER","RIVIÈRE SAINTE-MARIE","46.495","-84.3007","WGS84","ONT.","ONT.","GREAT LAKES","GRANDS LACS","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","",""
"ON02CA0096","ST.MARYS RIVER SITE 4","RIVIÈRE SAINTE-MARIE SITE 4","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","ST.MARYS RIVER","RIVIÈRE SAINTE-MARIE","46.4958","-84.2914","WGS84","ONT.","ONT.","GREAT LAKES","GRANDS LACS","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","",""
"ON02CA0097","ST.MARYS RIVER SITE 5","RIVIÈRE SAINTE-MARIE SITE 5","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","ST.MARYS RIVER","RIVIÈRE SAINTE-MARIE","46.4918","-84.293","WGS84","ONT.","ONT.","GREAT LAKES","GRANDS LACS","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","",""
"ON02CA0098","ST.MARYS RIVER SITE 6","RIVIÈRE SAINTE-MARIE SITE 6","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","ST.MARYS RIVER","RIVIÈRE SAINTE-MARIE","46.5016","-84.2522","WGS84","ONT.","ONT.","GREAT LAKES","GRANDS LACS","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","",""
"ON02CA0099","ST.MARYS RIVER SITE 7","RIVIÈRE SAINTE-MARIE SITE 7","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","ST.MARYS RIVER","RIVIÈRE SAINTE-MARIE","46.5253","-84.2371","WGS84","ONT.","ONT.","GREAT LAKES","GRANDS LACS","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","",""
"ON02CA0100","ST.MARYS RIVER SITE 8","RIVIÈRE SAINTE-MARIE SITE 8","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","ST.MARYS RIVER","RIVIÈRE SAINTE-MARIE","46.5344","-84.2191","WGS84","ONT.","ONT.","GREAT LAKES","GRANDS LACS","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","",""
"ON02CA0101","ST.MARYS RIVER SITE 9","RIVIÈRE SAINTE-MARIE SITE 9","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","ST.MARYS RIVER WEST OF GARDEN RIVER","RIVIÈRE SAINTE-MARIE À L'OUEST DE LA RIVIÈRE GARDEN","46.5354","-84.1923","WGS84","ONT.","ONT.","GREAT LAKES","GRANDS LACS","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","",""
"ON02CA0102","ST.MARYS RIVER SITE 10","RIVIÈRE SAINTE-MARIE SITE 10","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","ST.MARYS RIVER","RIVIÈRE SAINTE-MARIE","46.5371","-84.2242","WGS84","ONT.","ONT.","GREAT LAKES","GRANDS LACS","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","",""
"ON02CA0103","ST.MARYS RIVER SITE 11","RIVIÈRE SAINTE-MARIE SITE 11","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","ST.MARYS RIVER WEST OF SUGAR ISLAND","RIVIÈRE SAINTE-MARIE À L'OUEST DE L'ÎLE SUGAR","46.4271","-84.2561","WGS84","ONT.","ONT.","GREAT LAKES","GRANDS LACS","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","",""
